Gene,Cancer,Examples of Therapeutic Agents,TARGET
ABL1,Chronic Myeloid Leukemia,"Imatinib, Dasatinib, Nilotinib, ABL1 inhibitors",TARGET
AKT1,Liver cancer,AKT/MTOR inhibitors,
AKT2,Liver cancer,AKT/MTOR inhibitors,
AKT3,Liver cancer,AKT/MTOR inhibitors,
ALK,Lung cancer,"Crizotinib, ALK inhibitors",
APC,Colorectal cancer,WNT inhibitors,
AR,Prostate cancer,"Androgen Deprivation
Enzalutamide",
ARAF,Lung adenocarcinoma,"Sorafenib, Vemurafenib, Dabrafenib, RAF inhibitors",
ASXL1,Myeloproliferative tumor,,
ATM,Breast cancer,PARP Inhibitors,
ATR,Ovarian Cancer,PARP Inhibitors,
AURKA,Melanoma,AURKA Inhibitors,
BAP1,Melanoma,HDAC Inhibitors,
BCL2,Chronic lymphocytic leukemia,BCL2 inhibitors,
BRAF,Melanoma,"Vemurafenib, Dabrafenib, RAF inhibitors
MEK inhibitors",
BRCA1,Breast cancer,PARP Inhibitor,
BRCA2,Breast cancer,PARP Inhibitor,
BRD2,"Acute myeloid leukemia, multiple myeloma, Burkitt lymphoma, colon cancer","HDAC Inhibitors
Bromodomain inhibitors",
BRD3,"Acute myeloid leukemia, multiple myeloma, Burkitt lymphoma, colon cancer","HDAC Inhibitors
Bromodomain inhibitors",
BRD4,"Acute myeloid leukemia, multiple myeloma, Burkitt lymphoma, colon cancer","HDAC Inhibitors
Bromodomain inhibitors",
CCND1,Breast cancer,"Hormone therapy
CDK4/6 inhibitors",
CCND2,Glioblastoma,CDK4/6 inhibitors,
CCNE1,Ovarian cancer,CDK2 inhibitor,
CDH1,Breast cancer,,
CDK4,Glioblastoma,CDK4/6 inhibitors,
CDK6,Glioblastoma,CDK4/6 inhibitors,
CDKN1A,Prostate cancer,CDK inhibitors,
CDKN1B,Hepatocellular Carcinoma,CDK inhibitors,
CDKN2A,Stomach cancer,CDK4/6 inhibitors,
CDKN2B,Stomach cancer,CDK4/6 inhibitors,
CEBPA,Acute Myeloid Leukemia,Transplant,
CREBBP,Acute lymphoblastic leukemia,,
CRKL,Lung adenocarcinoma,"Gefitinib, Erlotinib, EGFR inhibitors
Vemurafenib, Dabrafenib, RAF inhibitors
Dasatinib, SRC inhibitors",
CTNNB1,Glioblastoma,WNT inhibitors,
DDR2,Squamous cell carcinoma of the lung,Dasatinib,
DNMT3A,Acute myeloid leukemia,DNAMT inhibitors,
EGFR,Lung cancer,"Erlotinib, Gefitinib, EGFR Inhibitors",
ERBB2,"Breast cancer, non-small cell lung cancer, prostate cancer, and ovarian cancer","Trastuzumab, Lapatinib, TDM1, Pertuzumab",
ERBB3,"Breast cancer, non-small cell lung cancer, prostate cancer, and ovarian cancer",Pertuzumab,
ERBB4,Breast cancer,Lapatinib,
ERCC2,Urothelial Carcinoma,Cisplatin,
ERG,Prostate cancer,PARP Inhibitor,
ERRFI1,Colorectal cancer,"Erlotinib, Gefitinib, EGFR Inhibitors",
ESR1,Breast cancer,Hormonal therapy,
ETV4,Prostate cancer,,
ETV5,Prostate cancer,,
ETV6,leukemia,,
EWSR1,Ewing Sarcoma,,
EZH2,B-cell lymphoma and follicular lymphoma,EZH2 inhibitors,
FBXW7,Hepatocellular Carcinoma,"MTOR inhibitors
Tubulins",
FGFR1,Urothelial carcinoma and intrahepatic cholangiocarcinoma,FGFR Inhibitors,
FGFR2,Urothelial carcinoma and intrahepatic cholangiocarcinoma,FGFR Inhibitors,
FGFR3,Urothelial carcinoma and intrahepatic cholangiocarcinoma,FGFR Inhibitors,
FLCN,Renal Cell Carcinoma,"Everolimus, Temsirolimus, MTOR inhibitors",
FLT3,Acute Myeloid Leukemia,"Sunitinib, FLT3 inhibitors",
GNA11,Melanoma,MAPK pathway inhibitors,
GNAQ,Melanoma,MAPK pathway inhibitors,
GNAS,Hepatocellular Carcinoma,JAK inhibitors,
HRAS,Canine spinous ameloblastoma,MAPK pathway inhibitors,
IDH1,Acute Myeloid Leukemia,IDH inhibitorss,
IDH2,Acute Myeloid Leukemia,IDH inhibitorss,
IGF1R,"Melanoma, colorectal cancer",IFG1-R Inhibitor,
JAK2,Myeloproliferative tumor,"ruxolitinib, JAK inhibitors",
JAK3,T cell prelymphocytic leukemia,"tofacitinib, JAK inhibitors",
KDR,Angiosarcoma,KDR inhibitors,
KIT,Gastrointestinal Stromal Tumor,"Imatinib, Sunitinib
Novel KIT Inhibitors",
KRAS,Colorectal cancer,"Cetuximab
MEK inhibitors",
MAP2K1,Melanoma,"Vemurafenib, MEK inhibitors",
MAP2K2,Melanoma,MEK inhibitors,
MAP2K4,"Breast cancer, prostate cancer, colorectal cancer",,
MAP3K1,"Breast cancer, prostate cancer, colorectal cancer",,
MAPK3,Head and neck squamous cell carcinoma,"Erlotinib, Gefitinib, EGFR Inhibitors",
MCL1,Lung cancer,Tubulins,
MDM2,Chronic Lymphocytic Leukemia,"Nutlin, MDM2 inhibitors",
MDM4,Stomach cancer,MDM4 inhibitors,
MED12,Non-small cell lung cancer,,
MEN1,Parathyroid tumor,,
MET,Lung cancer,"Gefitinib, Erlotinib, EGFR inhibitors
Crizotinib, MET inhibitors",
MITF,Melanoma,"Vemurafenib, Dabrafenib, RAF inhibitors",
MLH1,"Colorectal cancer, ovarian cancer",,
MPL,Myeloproliferative tumor,"Ruxolitinib, JAK2 inhibitors",
MSH2,Ovarian cancer and endometrial cancer,,
MSH6,Ovarian cancer and endometrial cancer,,
MTOR,"Breast cancer, hepatocellular carcinoma, etc.","Everolimus, Temsirolimus, MTOR inhibitors",
MYC,"Colorectal cancer, etc.",,
MYD88,Macroglobulinemia,BTK inhibitors,
NF1,Melanoma,"PI3K/AKT/MTOR inhibitors
RAF inhibitors
MEK inhibitors",
NF2,Melanoma,PI3K/AKT/MTOR inhibitors,
NFKBIA,Glioblastoma,,
NKX2-1,Lung adenocarcinoma,,
NOTCH1,Hepatocellular carcinoma,Notch Inhibitors,
NOTCH2,Hepatocellular carcinoma,Notch Inhibitors,
NPM1,Acute Myeloid Leukemia,Transplant,
NRAS,Melanoma,"Vemurafenib, Dabrafenib, RAF inhibitors
MEK inhibitors",
NTRK3,Prostate cancer,"PI3K/AKT/MTOR inhibitors
Dasatinib. src inhibitors
IGF1-R inhibitors",
PDGFRA,High Eosinophil Syndrome,Imatininb,
PDGFRB,High Eosinophil Syndrome,Imatininb,
PIK3CA,"Breast cancer, ovarian cancer, melanoma, esophageal cancer",PI3K/AKT/MTOR inhibitors,
PIK3CB,Squamous Cell Carcinoma,PI3K/AKT/MTOR inhibitors,
PIK3R1,Hepatocellular carcinoma,PI3K/AKT/MTOR inhibitors,
PTCH1,Chronic Lymphocytic Leukemia,"Vismodegib, hedgehog inhibitors",
PTEN,"Breast cancer, ovarian cancer, melanoma","PI3K/AKT/MTOR inhibitors
PARP inhinitors",
RAB35,Breast cancer,WNT inhibitors,
RAF1,Hepatocellular carcinoma,"Sorafenib
RAF inhibitors",
RARA,Acute Promyelocytic Leukemia,"ATRA, Arsenic",
RB1,Breast cancer,CDK inhibitors,
RET,Non-small cell lung cancer,"Sorafenib, vandetinib, RET Inhibitors",
RHEB,"Kidney cancer, stomach cancer, hepatocellular carcinoma",MTOR inhibitors,
RNF43,"Colon cancer, pancreatic cancer, stomach cancer, ovarian cancer and liver cancer",Porcupine inhibitors,
ROS1,Lung adenocarcinoma,Crizotinib,
RSPO2,Pancreatic cancer,WNT inhibitors,
RUNX1,Ovarian Cancer,,
SMAD2,Colorectal cancer,,
SMAD4,Colorectal cancer,,
SMARCA4,Small cell carcinoma of ovarian hypercalcemia,HDAC,
SMARCB1,Urothelial Cancer,"CDK inhibitors
Vismodegib, Hedgehog inhibitors
HDAC inhibitors",
SMO,Basal low cell carcinoma,"Vismodegib, hedgehog inhibitors",
STK11,Non-small cell lung cancer,"Everlolims, Temsirolimus, MTOR inhibitors
Dasatinib, src inhibitors
FAK inhibitors
Phenformin",
SYK,Chronic Lymphocytic Leukemia,SYK inhibitors,
TET2,Bone marrow cancer,,
TMPRSS2,Prostate cancer,PARP Inhibitors,
TP53,"Leukemia , epithelial ovarian cancer, breast cancer, ovarian cancer","Wee1 inhibitors
Chk1 inhibitors
kevetrin
APR-246
nutlins
gene therapy",
TSC1,Renal cell carcinoma,"Everolimus, Temsirolimus, MTOR inhibitors",
TSC2,Renal cell carcinoma,"Everolimus, Temsirolimus, MTOR inhibitors",
VHL,Kidney Cancer,,
WT1,leukemia,,
XPO1,Myeloma,SINE agents,
